iter,method,coef,se,CI_left,CI_right
1,Tlearner,1.06319840820802,0.0243920663556102,1.01539083664251,1.11100597977353
1,Rlearner,1.06970719795253,0.0241641712843955,1.02234629251885,1.1170681033862
1,intercept,1.06891862895018,0.0240752291226367,1.02173117986982,1.11610607803055
1,AIPW,1.05801701496984,0.0255224509264766,1.00799301115395,1.10804101878574
2,Tlearner,1.11835514997952,0.025638849931816,1.06810392750813,1.16860637245091
2,Rlearner,1.11807800694877,0.0253802511382537,1.06833362879921,1.16782238509833
2,intercept,1.12177999662558,0.0248584163542066,1.07305750057134,1.17050249267983
2,AIPW,1.13780266473405,0.0267112518401311,1.08544861112739,1.19015671834071
3,Tlearner,1.10901356437278,0.0246837194188294,1.06063436330738,1.15739276543817
3,Rlearner,1.11315674496219,0.0247946470177161,1.06456012979809,1.1617533601263
3,intercept,1.11315674496219,0.0247946470177161,1.06455923680747,1.16175425311692
3,AIPW,1.12619905982515,0.0269226746320173,1.0734306175464,1.17896750210391
4,Tlearner,1.09755521297968,0.0239640521031183,1.05058653393393,1.14452389202543
4,Rlearner,1.10291222746134,0.0240468313173044,1.05578130413711,1.15004315078556
4,intercept,1.10291222746133,0.0240468313173044,1.05578043807942,1.15004401684325
4,AIPW,1.1078698862206,0.0248608974659511,1.05914252718734,1.15659724525387
5,Tlearner,1.08475380455353,0.0241282144662556,1.03746337318842,1.13204423591865
5,Rlearner,1.08325787766455,0.0237741429921977,1.03666141363654,1.12985434169256
5,intercept,1.08444592784697,0.0237288995623141,1.03793728470483,1.1309545709891
5,AIPW,1.08257118050106,0.0247089466096612,1.03414164514612,1.13100071585599
6,Tlearner,1.09662159200943,0.024007152004207,1.04956843870981,1.14367474530906
6,Rlearner,1.09558761561482,0.0242395922465447,1.04807888781166,1.14309634341798
6,intercept,1.09630392770889,0.0241734313918493,1.04892400218086,1.14368385323691
6,AIPW,1.19196962418566,0.0498697121661476,1.09422498834001,1.28971426003131
7,Tlearner,1.123405966938,0.0242258558765065,1.07592416192539,1.17088777195061
7,Rlearner,1.12160208256958,0.0238720744066797,1.07481367649623,1.16839048864294
7,intercept,1.12373169168697,0.0237963539561093,1.077090837933,1.17037254544094
7,AIPW,1.12217155936695,0.0245395144279295,1.0740741110882,1.17026900764569
8,Tlearner,1.0831495166287,0.0243294645957343,1.03546464225792,1.13083439099948
8,Rlearner,1.0801085538858,0.0239295649028807,1.03320746851044,1.12700963926116
8,intercept,1.08010221676271,0.0239207782420604,1.03321749140827,1.12698694211715
8,AIPW,1.09391195770605,0.0240224262504016,1.04682800225526,1.14099591315684
9,Tlearner,1.11397618385494,0.0258395751476258,1.06333154718978,1.1646208205201
9,Rlearner,1.11354579443507,0.0258682777775844,1.06284490164892,1.16424668722121
9,intercept,1.10598692684681,0.0254507280396501,1.0561034998891,1.15587035380453
9,AIPW,1.11661641579334,0.026468044567368,1.0647390484413,1.16849378314538
10,Tlearner,1.10166229356651,0.0237285293657191,1.0551552306036,1.14816935652942
10,Rlearner,1.10577183935597,0.0242450041562965,1.05825250440461,1.15329117430734
10,intercept,1.10358912840597,0.0236905073515381,1.05715573399695,1.15002252281498
10,AIPW,1.12606324992053,0.0253785549548927,1.07632128220894,1.17580521763212
11,Tlearner,1.09383932658998,0.0239800192700474,1.04683935247211,1.14083930070785
11,Rlearner,1.10168424097842,0.0242888871334405,1.05407889697232,1.14928958498452
11,intercept,1.09960480885464,0.0242558709708277,1.05206330175181,1.14714631595746
11,AIPW,1.11191818510754,0.0252512813256324,1.06242567370931,1.16141069650578
12,Tlearner,1.14457191060372,0.0241724288532705,1.09719482063245,1.19194900057499
12,Rlearner,1.148790662419,0.0239963694953532,1.1017586424484,1.19582268238961
12,intercept,1.14844782826067,0.0239995027049029,1.10140880295906,1.19548685356228
12,AIPW,1.14790885850059,0.0256366799464375,1.09766096580558,1.19815675119561
13,Tlearner,1.10073892027293,0.0240189734849883,1.05366259729673,1.14781524324913
13,Rlearner,1.0994553963622,0.0239797165268316,1.05245601561013,1.14645477711427
13,intercept,1.09913585122776,0.0239649525992148,1.0521645441333,1.14610715832222
13,AIPW,1.1002065187813,0.0243916489398262,1.05239888685925,1.14801415070336
14,Tlearner,1.11211776559695,0.0235465922008259,1.06596729292468,1.15826823826922
14,Rlearner,1.11411125823296,0.0239155324864137,1.06723767588849,1.16098484057743
14,intercept,1.11409570314953,0.0239011347293658,1.06724947907997,1.16094192721909
14,AIPW,1.13681399505829,0.029756578578638,1.07849110104416,1.19513688907242
15,Tlearner,1.1051602545526,0.0244960678204736,1.05714884386162,1.15317166524358
15,Rlearner,1.10373857296904,0.0245501102671857,1.05562124102887,1.15185590490921
15,intercept,1.10614429889861,0.0244825592872891,1.05815848269553,1.1541301151017
15,AIPW,1.11225469485655,0.0256544995583923,1.0619718757221,1.162537513991
16,Tlearner,1.13784161893394,0.0243225770667732,1.09017024387187,1.18551299399602
16,Rlearner,1.13826914770938,0.0242191500357006,1.09080048590323,1.18573780951552
16,intercept,1.13826914771849,0.0242191500356986,1.09079961364852,1.18573868178846
16,AIPW,1.14135419845239,0.0266299294340828,1.08915953676159,1.19354886014319
17,Tlearner,1.10332569040443,0.0240657231950449,1.05615773968023,1.15049364112863
17,Rlearner,1.09273367770878,0.0245730067573901,1.04457146947243,1.14089588594512
17,intercept,1.09448183356956,0.0243915225261169,1.04667444941837,1.14228921772075
17,AIPW,1.10609033042975,0.0246747601826657,1.05772780047173,1.15445286038778
18,Tlearner,1.1064579840805,0.0243545403769956,1.05872396208157,1.15419200607944
18,Rlearner,1.10597034357922,0.0243386922175505,1.05826738340202,1.15367330375642
18,intercept,1.10658343446545,0.0243378767857186,1.05888119596545,1.15428567296546
18,AIPW,1.11628556835287,0.0267854094770581,1.06378616577783,1.1687849709279
19,Tlearner,1.08581599719741,0.0242771560209254,1.03823364574934,1.13339834864548
19,Rlearner,1.08927041558492,0.0244718862363565,1.0413063999279,1.13723443124194
19,intercept,1.08706984797795,0.0243814870779282,1.03928213330521,1.13485756265069
19,AIPW,1.10617028076771,0.0258643108131719,1.05547623157389,1.15686432996152
20,Tlearner,1.08386667311694,0.023890708454522,1.03704174498093,1.13069160125295
20,Rlearner,1.0879475407431,0.0241556935008421,1.04060325145986,1.13529183002634
20,intercept,1.09407767667236,0.0239067242125802,1.0472204972157,1.14093485612902
20,AIPW,1.10298904766226,0.0245695284869151,1.05483277182791,1.15114532349662
21,Tlearner,1.10769145913954,0.0247382747957415,1.05920533150023,1.15617758677885
21,Rlearner,1.11065802160717,0.0249070945890829,1.06184101325304,1.15947502996131
21,intercept,1.11406214210497,0.0245560363585383,1.06593231084223,1.1621919733677
